α,β,γ,δ,σ,startguess
0.4428153502532095,0.6891430815080295,0.4190471917575426,0.2954085248493189,0.9998350871244513,1
0.4500868968524984,0.5375607746637229,0.10739911028871224,0.0944992087141432,0.9996702836594931,2
0.9749738940357018,0.5744631252638019,0.675027069341452,0.7250434719230138,0.6252675834403159,3
0.012738944226711691,0.00543364447797089,0.9999999998122037,0.03199403275539441,0.9999999999832878,4
0.000617907025708493,0.006869044387653515,0.9999999999999765,0.02434033786933582,0.9999999999999999,5
0.0006179070257177675,0.006869044350462055,0.9999999999999862,0.02434033789753526,0.9999999999999999,6
0.225000775,0.775000225,0.6250003750000002,0.37500062500000003,0.425000575,7
0.8250001750000001,0.275000725,0.175000825,0.525000475,0.07500092500000001,8
0.1586375423721659,0.026303601325760893,0.1829156713926648,0.006088651985969768,0.9999999999999998,9
0.7321802603559677,0.32054270949394587,0.046447472294166146,0.04228800576935799,0.9999807366772838,10
0.0006179070257084843,0.006869044387662054,0.9999999999998004,0.02434033786932407,0.9999999999999992,11
0.10016549686964445,0.019901184043737054,0.29927217567564646,0.009966060127028234,0.21078274009426937,12
0.10016550970529242,0.01990118544861404,0.2992721344417398,0.00996605875255596,0.21078279098101277,13
0.012738862629634877,0.005433571265386347,0.9999999897991934,0.031993919396944195,0.9999999993154313,14
0.012738862598492788,0.0054335713278485095,0.9999999999871194,0.031993919735621344,0.9999999999991417,15
0.42866070741009676,0.7688529418436826,0.8145413830113598,0.2557983124232832,0.9999708600450804,16
0.5961221165020293,0.3743305255788909,0.9761788773037223,0.6905076031654108,0.06347911729444267,17
0.004230020905156254,0.0012860124885332158,0.009626822382389405,1.0000000034171852e-6,0.9999999999999554,18
0.012738862598501441,0.005433571327849914,0.9999999999857774,0.03199391973557972,0.9999999999990522,19
0.37500062110064564,0.2250008276296473,0.27500073666777997,0.6750004282197852,0.9750002284506205,20
