fmin,alg,runtime,niterations,converged,startguess
79765.04730046056,Optim_IPNewton,0.500999927520752,11,true,1
79531.0848011688,Optim_IPNewton,0.745999813079834,24,true,2
78254.14809425836,Optim_IPNewton,0.931999921798706,16,true,3
11246.142889546694,Optim_IPNewton,0.5299999713897705,50,true,4
11739.095851367447,Optim_IPNewton,0.5510001182556152,79,true,5
11739.095851311764,Optim_IPNewton,0.3339998722076416,73,true,6
438235.01554397953,Optim_IPNewton,0.0,0,true,7
1.6803091596176717e7,Optim_IPNewton,0.002000093460083008,1,true,8
531.2510498078515,Optim_IPNewton,1.2170000076293945,73,true,9
11739.095851300095,Optim_IPNewton,0.628000020980835,102,true,10
11739.09585131933,Optim_IPNewton,0.5850000381469727,117,true,11
-56.10315087874054,Optim_IPNewton,1.6380000114440918,90,true,12
-56.10315089000249,Optim_IPNewton,1.2939999103546143,85,true,13
78238.10852869607,Optim_IPNewton,1.1159999370574951,22,true,14
9807.628947228315,Optim_IPNewton,0.5219998359680176,42,true,15
11080.189981986765,Optim_IPNewton,23.60800004005432,1000,false,16
1.2916333855228989e8,Optim_IPNewton,0.6319999694824219,6,true,17
51691.26147628897,Optim_IPNewton,0.5399999618530273,73,true,18
79818.3491816523,Optim_IPNewton,0.753000020980835,10,true,19
99097.60287776486,Optim_IPNewton,0.20100021362304688,7,true,20
