α,β,γ,δ,σ,ftrace,startguess
0.475000525,0.7250002750000001,0.425000575,0.325000675,0.925000075,106551.64417872751,1
0.47464661400284736,0.4502755497250001,0.4299905495736121,0.38993253369101616,0.9491129649214501,100949.06663874476,1
0.4743507848343181,0.4836898500462534,0.4292979167055403,0.38211813396220745,0.9745310389431858,95715.80907724946,1
0.4739224612152319,0.5015572208690913,0.4286788723807724,0.37742290036154075,0.9872527849910645,93307.3348873505,1
0.4741378824534631,0.4981049979939497,0.42876861208192796,0.37861921310385527,0.9880486892281849,93102.35679245307,1
0.47385199226146796,0.5053393119933021,0.42843306167937883,0.37649693705361326,0.9940183689587065,92079.01745600157,1
0.4732869864595144,0.5202063834653534,0.42785290816993427,0.3722142891629351,0.9970061936638326,91506.46280437688,1
0.4721805848363805,0.5527293471480654,0.4267788323961348,0.363115770676546,0.9985015999287482,91180.58622282388,1
0.47142026615046634,0.6109341932094247,0.42570911459603306,0.3489027634527308,0.9987642320007861,91075.81570963659,1
0.4583528218618494,0.6453230193756019,0.42310943996584355,0.3252132413234477,0.9993814981163934,90818.68289709341,1
0.4428153723458327,0.6891443125718771,0.41904719060857876,0.2954082794662773,0.9998350870726468,90563.56141117381,1
0.4428153533658334,0.6891432474837632,0.41904719164251825,0.2954084919446281,0.9998350871065239,90563.48861418733,1
0.44281535110210535,0.6891431267756217,0.4190471917261618,0.2954085158749784,0.999835087119563,90563.4781794371,1
0.4428153505361748,0.6891430965972979,0.4190471917470819,0.29540852185785627,0.999835087122822,90563.47759928065,1
0.4428153502532095,0.6891430815080295,0.4190471917575426,0.2954085248493189,0.9998350871244513,90563.47555526174,1
0.4428153502532095,0.6891430815080295,0.4190471917575426,0.2954085248493189,0.9998350871244513,90563.47555526174,1
0.275000725,0.925000075,0.325000675,0.07500092500000001,0.37500062500000003,720416.0328964742,2
0.2807418046622833,0.8550456549471575,0.3091878548572202,0.08392539598476585,0.4951262573582736,397615.9440465977,2
0.28299478254009675,0.8488907232870325,0.30437370857873924,0.08664470578546053,0.5116112209902963,354380.3765832544,2
0.4539321049915579,0.8266521440323222,0.08495560205918845,0.06200500842576814,0.5849900900249655,269584.8667470903,2
0.4720136649248312,0.7295772230342287,0.10782075931795174,0.06960916328893717,0.7544883984742582,162153.324701175,2
0.44985575553598384,0.5458036730638988,0.10687152671782378,0.09202808684341937,0.9997544883984743,92568.10739317941,2
0.4500868988868109,0.537560792144217,0.10739910947272384,0.09449920556269958,0.9996702830066958,92517.84083748222,2
0.4500868979126049,0.5375607835129357,0.10739910988054298,0.09449920714624392,0.999670283320824,92517.83971068068,2
0.45008689785114947,0.5375607829999378,0.10739910990420497,0.09449920723713663,0.9996702833404569,92517.83805118199,2
0.4500868968678623,0.5375607747919725,0.10739911028279674,0.09449920869141999,0.9996702836545848,92517.83590730486,2
0.4500868968524984,0.5375607746637229,0.10739911028871224,0.0944992087141432,0.9996702836594931,92517.83517315432,2
0.4500868968524984,0.5375607746637229,0.10739911028871224,0.0944992087141432,0.9996702836594931,92517.83517315432,2
0.975000025,0.575000425,0.6750003250000001,0.7250002750000001,0.6250003750000002,242768.59986458707,3
0.9749739200042041,0.5744676137855771,0.6750268452157564,0.7250427439691502,0.6252669556713524,236631.02867923,3
0.9749738957266431,0.5744634000299915,0.675027055691366,0.7250434274499826,0.6252675459434213,233632.28158835735,3
0.9749738956758001,0.5744633917101732,0.6750270561048278,0.7250434287970884,0.6252675470788144,233623.67828835608,3
0.9749738940357018,0.5744631252638019,0.675027069341452,0.7250434719230138,0.6252675834403159,233611.16016617595,3
0.9749738940357018,0.5744631252638019,0.675027069341452,0.7250434719230138,0.6252675834403159,233611.16016617595,3
0.925000075,0.525000475,0.575000425,0.8250001750000001,0.7250002750000001,1.4467365097228629e87,4
0.8584791625541411,0.3931174601101192,0.5000119245818078,0.6501753498250002,0.7141627371740192,3.9527734431718456e74,4
0.8205103227148578,0.41832888057942946,0.48880315395103346,0.5954428803116741,0.9067571385400424,9.495934423947629e22,4
0.8048520257162174,0.4390816181188324,0.48008373709646096,0.5660140763690965,0.9533319478392912,100167.62945007479,4
0.7778088749581775,0.45959057945283815,0.4834351019374298,0.5451815992087136,0.9766426398935653,94677.73082586213,4
0.7613553068346489,0.4896223084728503,0.4755225594728015,0.5151009461784883,0.9883096412667294,90708.65502603573,4
0.6559516079999822,0.5455367109285818,0.48542646653335014,0.4330984645061348,0.9962554275343987,87926.3558814427,4
0.5403597717680256,0.617384836686352,0.47007882604890233,0.30440298708169955,0.9971713439428583,85786.34264888131,4
0.44825985439830757,0.6525864750047449,0.5050540744116339,0.25552593528075634,0.9975723210279387,83679.72484474086,4
0.4242328446120947,0.7277809281983562,0.47345316926076125,0.19170858269438745,0.9976209113514714,82640.62342929501,4
0.3680266950441755,0.7360193496425607,0.47625823347842516,0.14382961391646418,0.9976891553999703,79818.39909424626,4
0.34120725212163644,0.7704035736021354,0.4696539605525797,0.10790841759082725,0.9980775852741061,78349.29602837525,4
0.3372327940462111,0.7711966954225719,0.4661168280876995,0.10187841076444074,0.9982807333995818,78200.40122344854,4
0.328627365152666,0.7659577762894527,0.46696212526426334,0.0958664928949274,0.9997782424588565,77710.9457318908,4
0.22909261869100694,0.5607858334912917,0.5001882311159185,0.07633281642168695,0.999765139636437,73715.59423347404,4
0.1815836391713969,0.3763759760979102,0.45521453735172873,0.054964999795294234,0.9999054028997866,67070.03959259622,4
0.16411020206883006,0.28896492624287673,0.4282016770316809,0.05274410152887342,0.9999687993039583,64696.55583005274,4
0.12933647963505765,0.21899961321175987,0.41575698768916913,0.0378993193019547,0.9999891730964996,61247.78729817924,4
0.11696932152647689,0.1583028891925358,0.37737677278796483,0.03480100008357926,0.9999924650234598,58960.486324492456,4
0.10504699311784234,0.1515200562531698,0.37859857445841066,0.028303425840291493,0.999993827999589,57525.25960133226,4
0.10598969955635046,0.14493893212029868,0.363850001660277,0.030541802930615803,0.9999958001479499,54313.29221570395,4
0.0972359942216533,0.13996012507877476,0.39306438196133664,0.031189092526022488,0.9999958696471386,52434.56247027024,4
0.0892761363362179,0.10500533359035075,0.34728422974986256,0.025692492573311878,0.9999959509632275,50350.56399468227,4
0.08329795746328696,0.07878050127616064,0.3011861852516229,0.02108906416182768,0.9999957411094655,47245.03489153254,4
0.07642593921157456,0.07676990780910427,0.32952115459924675,0.021862408677644697,0.9999957362140948,45708.185768369214,4
0.07190948276942667,0.07770106167431146,0.36151341637110523,0.023086809245685874,0.9999957491064617,44389.683428753466,4
0.06542987568207226,0.05829547127115216,0.32243184640197836,0.018860546026521555,0.9999955377342357,40910.77839470815,4
0.057259493519856625,0.059257338315847535,0.3878065295340385,0.021126183654105152,0.9999954568820382,38301.22058393791,4
0.036937049940850605,0.029658797327081692,0.4289475590440168,0.018241079600532516,0.9999960144286663,25958.89161914695,4
0.036927808892947674,0.028169401520228662,0.4284455483407283,0.017992435669766754,0.9999955816333486,23727.20388902933,4
0.0247479698326383,0.01409928496087444,0.48905084816882344,0.01738439589019695,0.9999942752254228,14671.159268516882,4
0.019418307782821533,0.0070571916229176515,0.5036990707326533,0.016688234634404622,0.9999928786643029,10989.750865213377,4
0.01804120894853393,0.005400744317343324,0.5109189041289395,0.016480254808093786,0.999995362291806,10430.69016527674,4
0.016487640540304722,0.005056182231682058,0.5828040663975389,0.018714535649983377,0.9999994874359943,10089.509241786784,4
0.015046169812459568,0.005102815251537841,0.6826683055961494,0.021947064444448612,0.9999995347756686,9837.232138881354,4
0.014487387395832685,0.005273606345747709,0.7622035362422255,0.024576049746838517,0.9999999200725558,9562.799987671078,4
0.013746103390840134,0.00538207293658115,0.8486875386977237,0.027359280224979264,0.9999999335918343,9416.785072622783,4
0.013113596345840327,0.00558045896871902,0.962079454997282,0.031034858484458524,0.9999999920321894,9237.043450196394,4
0.012935379591786023,0.005629469951486434,0.9999620794549973,0.0322495870169867,0.9999999925525183,9181.299561356187,4
0.012935198981536783,0.005629508593716503,0.999999962079455,0.032250792829872685,0.9999999925543638,9181.24683738544,4
0.012935194173328899,0.005629503701896147,0.9999999810207671,0.03225078742480029,0.9999999925545183,9181.245843382389,4
0.0129351826587036,0.005629491772395016,0.9999999905008939,0.03225077312088396,0.9999999925548922,9181.243474690296,4
0.012934535188728311,0.005628817844169999,0.9999999999905008,0.032249948961435966,0.9999999925759739,9181.110734288326,4
0.0128289698248338,0.005518946093766038,0.9999985550238452,0.03211543810170363,0.999999996015414,9165.018826176802,4
0.012784859108439591,0.005476077528749175,0.9999999985550239,0.03205673892315521,0.9999999976452587,9161.596262053941,4
0.012761523902389648,0.00545419779674095,0.999999991594895,0.03202508356759131,0.9999999984461838,9160.66423731019,4
0.012750114723227455,0.005443733968306481,0.9999999948689473,0.03200944687331732,0.9999999991305144,9160.43690187653,4
0.012744469688294676,0.005438615684211115,0.999999996568554,0.03200167037461601,0.9999999994995192,9160.38071051818,4
0.012741661480844662,0.005436084346897127,0.9999999977641101,0.03199779190904507,0.9999999997122394,9160.366747411037,4
