α,β,γ,δ,σ,ftrace,startguess
0.475000525,0.7250002750000001,0.425000575,0.325000675,0.925000075,109162.63811241892,1
0.47330484813307844,0.7144013469577397,0.42556861713357924,0.326256472632475,0.9624625375375,100769.34795790247,1
0.472490323160574,0.7342868160294953,0.4252850536769478,0.320847371518108,0.9812125000375187,97023.70693223439,1
0.47190076419560273,0.7681223954366251,0.4245947820341949,0.31217122323133684,0.9905968562687781,95059.13048602897,1
0.47133751029911497,0.8257771213153859,0.4232472321111625,0.29757185183567436,0.9952937265625235,94177.18427568008,1
0.47053719347702017,0.8598594361098909,0.4222023085906232,0.2881498977550878,0.997644510144543,93640.73106396182,1
0.4700082824707989,0.8722176876183804,0.4217043849138709,0.28436396544317094,0.9982327937359434,93534.99053543067,1
0.4693828564787923,0.8852159067892631,0.42113533308331075,0.28027536726219004,0.9986741535003916,93405.60575513093,1
0.4693828557048247,0.8852159200768281,0.421135332387759,0.28027536289364274,0.9986741538161819,93405.60499572828,1
0.4693828557048247,0.8852159200768281,0.421135332387759,0.28027536289364274,0.9986741538161819,93405.60499572828,1
0.275000725,0.925000075,0.325000675,0.07500092500000001,0.37500062500000003,758244.7206119306,2
0.23327265429578428,0.8727489174995468,0.33751030807767973,0.056526793315050235,0.4994995041112304,439514.78030115215,2
0.23058841614131612,0.876938661681489,0.33752341834930455,0.05403920954891862,0.6251215803665381,264247.6053354426,2
0.22971767466761628,0.797196099802621,0.3406157441851379,0.07353629495971332,0.7695713461224031,169704.29135388928,2
0.2266181625790553,0.8033468385839666,0.34117134495767154,0.07063257885125496,0.9907927750402756,99053.05020575068,2
0.22530219247595196,0.8131196379357447,0.33984989330206444,0.06653307301986726,0.9953917839076579,97207.43135089679,2
0.2253367040549197,0.7944207023886061,0.3386095977047122,0.07060367119933159,0.9976935878457828,95322.3671720123,2
0.22552491138107245,0.7429665622866886,0.32370001279519206,0.07169774329327289,0.9988456407168143,94362.68112524007,2
0.2292862251863802,0.7533668555253908,0.3309826707901647,0.07932351943705004,0.9994222431787655,93856.7528301942,2
0.23273197985057653,0.7298953095977094,0.32605777040666717,0.08517815238554426,0.9995156186957079,93307.56112866261,2
0.2367434902747619,0.7356652117859125,0.3340231020793324,0.09487506939670125,0.9995821487141922,93110.2221613609,2
0.234623175323108,0.6334456995933526,0.32490913579603253,0.109234613859226,0.999839585915022,92539.5828715068,2
0.2350743325754657,0.6286810641208331,0.32616819040586575,0.11183956826300517,0.9998498648499304,92497.33138660854,2
0.2351770186639651,0.6274450332856565,0.32649847036239865,0.11250386146503864,0.9998570709827966,92489.94431008163,2
0.23518321129342204,0.6273678280212155,0.32651875147215237,0.11254482368568651,0.9998575201859674,92489.59788638279,2
0.2351835966090246,0.6273630051668624,0.32652001784893814,0.11254738039810225,0.9998575486245984,92489.5264161972,2
0.2351835966090246,0.6273630051668624,0.32652001784893814,0.11254738039810225,0.9998575486245984,92489.5264161972,2
0.975000025,0.575000425,0.6750003250000001,0.7250002750000001,0.6250003750000002,254984.8939063826,3
0.9556333958860805,0.592219968109383,0.66643878248707,0.6923399208429265,0.8279688326691009,141525.42562799694,3
0.9497297222290694,0.606824544507658,0.6640696383142718,0.6806385395641608,0.9998279688326691,96132.46472889029,3
0.9321918420983555,0.6526517217934773,0.6526366650475025,0.6426162966753933,0.9967439428064412,95357.41969585649,3
0.927769144134004,0.7126895717166986,0.651835286103363,0.6263124699390582,0.9983703433746238,94505.63575618718,3
0.9153350044506653,0.7328976309624967,0.6448708631090982,0.6033573164717968,0.9987022401701107,94118.40513725913,3
0.8982989544903602,0.8045994408330528,0.6429805676475292,0.5727595691965854,0.9993504712051404,93421.22198850388,3
0.877590946117791,0.8647188532349904,0.6346464352460907,0.5334754765957883,0.9996749108381728,92936.921049082,3
0.8582866323455074,0.9322917860441127,0.6296938462375018,0.49803088140384955,0.9997780470014569,92540.21198092183,3
0.7786462772073736,0.9793696825216047,0.6047408419646058,0.3948125828827615,0.9999020953133392,92080.69833677993,3
0.7632902768034073,0.9896745261020632,0.6000014793789168,0.3754749872264323,0.9999195722092763,91835.39449716675,3
0.7518184400087399,0.9863132553951324,0.5970482948951723,0.36365961689370724,0.9999334618382554,91552.82276234715,3
0.7525196095471994,0.983844690782181,0.5554536142854932,0.32292521626458115,0.9999381344368221,91416.31327415975,3
0.6919691905137809,0.9919142677364816,0.5531945523696922,0.27530231241215836,0.9999472087265797,90881.94229364765,3
0.6477802939885935,0.995953091002109,0.5519119219787988,0.24125912900120072,0.9999502985125154,90521.46502723199,3
0.6446490818928827,0.9927752083171026,0.5576492624901006,0.2446349983822166,0.9999757181443879,90495.75998317973,3
0.5391215654722329,0.8827345051343456,0.5215661713715292,0.16047196581835813,0.9999810037159925,89931.0508589059,3
0.5878618114123553,0.8319746995399053,0.5512397414653283,0.22694037554962093,0.9999882765013939,88895.61760464394,3
0.5624034837935759,0.8427528103466736,0.5487677811856303,0.2043286531745911,0.9999930304092233,88396.44999860595,3
0.5492496774334087,0.8462930927412303,0.5435315041926153,0.19025412290187807,0.9999936948138961,88319.66515208056,3
0.5486681150433635,0.8215492944036432,0.5465198549606118,0.19755270977424433,0.9999943930374193,88289.04502254873,3
0.5478199777041086,0.7931097762527031,0.5452940200510298,0.20242511354850073,0.9999950417619577,88279.00560225848,3
0.5480171770368687,0.7836856567859669,0.5242088888594835,0.18954840798684564,0.999997292118449,88256.6378987258,3
0.542061994437919,0.7118059933269137,0.5154907669797254,0.19524589728176675,0.9999995840282966,88218.00013086027,3
0.5432221253775563,0.7145641519032867,0.4939242504594381,0.18015965038189427,0.9999996296193472,88193.20397166058,3
0.529502637449263,0.717948228570391,0.48856993104530544,0.1668435844653219,0.9999996645066412,88104.44387452562,3
0.5282846844799234,0.6780485970760591,0.49139829764360743,0.1769087661806994,0.9999997097218085,88065.14041305719,3
0.5061105324636956,0.6718043365138918,0.49311652531218986,0.16538430467256532,0.9999997319078647,87966.00421023132,3
0.4902614104858565,0.6702221689970725,0.4911838525803588,0.1542615273900569,0.9999998515073414,87829.96079132141,3
0.4872875823750706,0.6691925013047592,0.4973281149032454,0.15651432375095153,0.9999999126906525,87811.48800350195,3
0.47322619369013735,0.6573631396395508,0.4996993922133798,0.15150935017170736,0.9999999853904875,87744.86045459239,3
0.47150950404355496,0.638276338357231,0.5072499698478,0.15931727242160804,0.9999999913964187,87642.43535856406,3
0.46281580778470804,0.6371071088832584,0.5049884754405926,0.15242105520416618,0.9999999931720098,87590.91782325925,3
0.45064393074987813,0.6192073097138364,0.5071358446327419,0.1497051104321191,0.9999999936825686,87503.78565052281,3
0.4481370184326853,0.6111852327602171,0.5112425957773742,0.15225315608877601,0.9999999964987569,87454.08698099274,3
0.4317178151878164,0.6001087396984875,0.5124247689717107,0.14441891546296892,0.9999999993681955,87360.16162011205,3
0.4350473694890483,0.5952626279763905,0.5190407291051198,0.15149566092521036,0.999999999438888,87310.94939341387,3
0.3988607920704519,0.5437979938955617,0.5175070446500191,0.13762475393646706,0.9999999996491683,86982.35887495767,3
0.39731408108982097,0.5143209207479484,0.5220491183018698,0.1456549093908024,0.9999999996706129,86826.49639211086,3
0.36194377871077255,0.4917373115094624,0.5222724393919963,0.12673490675690569,0.9999999997336229,86610.3581681372,3
0.3677372919788729,0.48149456498197263,0.5325415877105272,0.13793723364337546,0.9999999998403885,86465.34138015247,3
0.32217499867568306,0.3933397646172163,0.5129418152496203,0.11668081116871865,0.9999999998946192,85894.19979383466,3
0.30570544163842706,0.37817741726285853,0.5152496325978199,0.11005821431262061,0.9999999999391335,85681.55233964203,3
0.3095626151030227,0.3771368437521007,0.5246026592321777,0.11664116955865485,0.999999999942957,85626.10545467095,3
0.27918868797328,0.35833005811661317,0.5186705868710187,0.09766667795485386,0.9999999999937255,85393.06263562299,3
0.27862823401359255,0.32390254496375137,0.5113750948120805,0.1027643053109831,0.9999999999938275,84894.25950341993,3
0.19238092163913212,0.19535873098722714,0.4758540033337179,0.061780801043361915,0.9999999999988125,83703.35532773976,3
