α,β,γ,δ,σ,startguess
0.4693828557048247,0.8852159200768281,0.421135332387759,0.28027536289364274,0.9986741538161819,1
0.2351835966090246,0.6273630051668624,0.32652001784893814,0.11254738039810225,0.9998575486245984,2
0.9999999999998798,0.11180582652173338,9.688174503888652e-5,1.367910827197227e-6,0.9999999999999986,3
0.013331056846581674,0.006214508955111415,0.9999999951983555,0.032336238590059,0.9999999997378735,4
0.01181451964796044,0.0022797815470108613,0.005403098628246282,1.000000000447438e-6,0.9999999999999905,5
0.0013203273966018562,0.006916120824414239,0.999999999997053,0.027203646551469507,0.9999999999999734,6
0.225000775,0.775000225,0.6250003750000002,0.37500062500000003,0.425000575,7
0.8250001750000001,0.275000725,0.175000825,0.525000475,0.07500092500000001,8
0.16079491536713067,0.026551450831386405,0.18053896800636304,0.006004217446682145,0.999999999999997,9
0.011427294647707842,0.00225961239763434,0.005759655016569766,1.0000000008961415e-6,0.9999999999999823,10
0.0013203273966005508,0.006916120824398742,0.9999999999996129,0.027203646551555574,0.9999999999999964,11
0.09901869988055512,0.019751324648802127,0.3031801053545695,0.010099814646650532,0.20614729423974018,12
0.09901869991529935,0.019751324652684425,0.30318010523748856,0.010099814642736644,0.20614729421924996,13
0.5197755272798269,0.8475236579044041,0.7821503029567672,0.3205705698336209,0.9998156067193644,14
0.013331057025202278,0.006214509110566651,0.9999999786314121,0.032336238084959786,0.999999998840193,15
0.01848404004796304,0.005089547341979214,0.5628618273822269,0.01950763962756861,0.9999999999999997,16
0.6756651344782724,0.3725043380977399,0.9757798258637449,0.7766083332104972,0.02502760956933722,17
0.0013203273966025083,0.0069161208244220345,0.9999999999965062,0.027203646551449665,0.9999999999999684,18
0.013331056879319842,0.006214509086985154,0.9999999994388948,0.032336238731570335,0.9999999999695453,19
0.3750448224083991,0.22580101543434014,0.27479783796166923,0.6700151112641559,0.9781240788901694,20
