fmin,alg,runtime,niterations,converged,startguess
93405.60499572828,Optim_IPNewton,0.2950000762939453,9,true,1
92489.5264161972,Optim_IPNewton,0.3190000057220459,16,true,2
14635.726097939241,Optim_IPNewton,2.8930001258850098,130,true,3
12285.175401742814,Optim_IPNewton,1.003000020980835,52,true,4
13280.979042066372,Optim_IPNewton,13.04699993133545,1000,false,5
13134.176025919227,Optim_IPNewton,0.3299999237060547,75,true,6
518283.3034625456,Optim_IPNewton,0.0,0,true,7
1.9352085971464068e7,Optim_IPNewton,0.0,1,true,8
584.4605625985982,Optim_IPNewton,0.7909998893737793,63,true,9
13274.345540903618,Optim_IPNewton,0.6670000553131104,128,true,10
13134.176025918485,Optim_IPNewton,0.3560001850128174,60,true,11
-64.0901817976386,Optim_IPNewton,1.1779999732971191,55,true,12
-64.09018179590443,Optim_IPNewton,1.3819999694824219,80,true,13
91743.0221559324,Optim_IPNewton,0.45200014114379883,11,true,14
12285.175442059648,Optim_IPNewton,0.5950000286102295,37,true,15
14284.82481343216,Optim_IPNewton,24.08899998664856,1000,false,16
1.5214233148013237e8,Optim_IPNewton,0.9360001087188721,8,true,17
13134.176025919744,Optim_IPNewton,0.38000011444091797,65,true,18
12285.175393853771,Optim_IPNewton,0.8519999980926514,43,true,19
114927.66570567906,Optim_IPNewton,0.20799994468688965,7,true,20
